id,name,name_jp,name_ko,effect_entry,effect_entry_ko,effect_detail,introduced_generation_id
11,Water Absorb,ちょすい,저수,"If hit by a Water-type move, the Pokémon has its HP restored instead of taking damage.",물타입의 기술로 공격받으면 데미지를 받지 않고 회복한다.,"Whenever a water-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.  Water moves will ignore this Pokémon's substitute.",3
12,Oblivious,どんかん,둔감,"The Pokémon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate.",둔감해서 헤롱헤롱이나 도발 상태가 되지 않는다. 위협을 당해도 동요하지 않는다.,"This Pokémon cannot be infatuated and is immune to captivate.  If a Pokémon is infatuated and acquires this ability, its infatuation is cleared.",3
13,Cloud Nine,ノーてんき,날씨부정,Eliminates the effects of weather.,모든 날씨의 영향이 없어진다.,"While this Pokémon is in battle, weather can still be in play, but will not have any of its effects.  This ability functions identically to air lock.",3
14,Compound Eyes,ふくがん,복안,The Pokémon's compound eyes boost its accuracy.,복안을 가지고 있어 기술의 명중률이 올라간다.,"This Pokémon's moves have 1.3× their accuracy.  This ability has no effect on the one-hit KO moves (fissure, guillotine, horn drill, and sheer cold).  Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised from 50%, 5%, or 1% to 60%, 20%, or 5%, respectively.",3
15,Insomnia,ふみん,불면,The Pokémon's insomnia prevents it from falling asleep.,잠들지 못하는 체질이라 잠듦 상태가 되지 않는다.,"This Pokémon cannot be asleep.  This causes rest to fail altogether.  If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle.  This ability functions identically to vital spirit in battle.",3
16,Color Change,へんしょく,변색,The Pokémon's type becomes the type of the move used on it.,상대에게 받은 기술의 타입으로 자신의 타입이 변화한다.,"Whenever this Pokémon takes damage from a move, the Pokémon's type changes to match the move.  If the Pokémon has two types, both are overridden.  The Pokémon must directly take damage; for example, moves blocked by a substitute will not trigger this ability, nor will moves that deal damage indirectly, such as spikes.  This ability takes effect on only the last hit of a multiple-hit attack.  In Pokémon Colosseum and XD: Gale of Darkness, this ability does not take effect on Shadow-type moves.",3
17,Immunity,めんえき,면역,The Pokémon's immune system prevents it from being poisoned.,체내에 면역을 가지고 있어 독 상태가 되지 않는다.,"This Pokémon cannot be poisoned.  This includes bad poison.  If a Pokémon is poisoned and acquires this ability, its poison is healed; this includes when regaining a lost ability upon leaving battle.",3
18,Flash Fire,もらいび,타오르는불꽃,"If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves.",불꽃타입의 기술로 공격받으면 불꽃을 받아서 자신이 사용하는 불꽃타입의 기술이 강해진다.,"This Pokémon is immune to fire-type moves.  Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle.  This ability has no effect while the Pokémon is frozen.  The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled.  Fire moves will ignore this Pokémon's substitute.  This ability takes effect even on non-damaging moves, i.e. will o wisp.",3
19,Shield Dust,りんぷん,인분,Protective dust shields the Pokémon from the additional effects of moves.,인분에 보호받아 기술의 추가 효과를 받지 않게 된다.,"This Pokémon is immune to the extra effects of moves used against it.  An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.",3
20,Own Tempo,マイペース,마이페이스,"The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate.",마이페이스라서 혼란 상태가 되지 않는다. 위협을 당해도 동요하지 않는다.,"This Pokémon cannot be confused.  If a Pokémon is confused and acquires this ability, its confusion will immediately be healed.",3
21,Suction Cups,きゅうばん,흡반,The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.,흡반으로 지면에 달라붙어 포켓몬을 교체시키는 기술이나 도구의 효과를 발휘하지 못하게 한다.,"This Pokémon cannot be forced out of battle by moves such as whirlwind.  dragon tail and circle throw still inflict damage against this Pokémon.  Overworld: If the lead Pokémon has this ability, the success rate while fishing is increased.",3
22,Intimidate,いかく,위협,"When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats.",등장했을 때 위협해서 상대를 위축시켜 상대의 공격을 떨어뜨린다.,"When this Pokémon enters battle, the opponent's Attack is lowered by one stage.  In a double battle, both opponents are affected.  This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle.  This ability has no effect on an opponent that has a substitute.  Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",3
23,Shadow Tag,かげふみ,그림자밟기,The Pokémon steps on the opposing Pokémon's shadows to prevent them from fleeing or switching out.,상대의 그림자를 밟아 도망치거나 교체할 수 없게 한다.,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.  Other Pokémon with this ability are unaffected.  Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.",3
24,Rough Skin,さめはだ,까칠한피부,The Pokémon's rough skin damages attackers that make direct contact with it.,공격을 받았을 때 자신에게 접촉한 상대를 까칠까칠한 피부로 상처를 입힌다.,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.  This ability functions identically to iron barbs.",3
25,Wonder Guard,ふしぎなまもり,불가사의부적,Its mysterious power only lets supereffective moves hit the Pokémon.,효과가 굉장한 기술만 맞는 불가사의한 힘.,"This Pokémon is immune to damaging moves that are not super effective against it.  Moves that inflict fixed damage, such as night shade or seismic toss, are considered super effective if their types are.  Damage not directly dealt by moves, such as damage from weather, a status ailment, or spikes, is not prevented.  This ability cannot be copied with role play or traded away with skill swap, but it can be copied with trace, disabled with gastro acid, or changed with worry seed.  This Pokémon can still use Role Play itself to lose this ability, but not Skill Swap.  If this Pokémon has a substitute, this ability will block moves as usual and any moves not blocked will react to the Substitute as usual.",3
26,Levitate,ふゆう,부유,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",땅에서 뜨는 성질 때문에 땅타입의 기술로 공격받지 않는다.,"This Pokémon is immune to ground-type moves, spikes, toxic spikes, and arena trap.  This ability is disabled during gravity or ingrain, or while holding an iron ball.  This ability is not disabled during roost.",3
27,Effect Spore,ほうし,포자,"Contact with the Pokémon may inflict poison, sleep, or paralysis on the attacker.","공격으로 자신에게 접촉한 상대를 독이나 마비, 잠듦 상태로 만들 때가 있다.","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed, poisoned, or put to sleep, chosen at random.  Nothing is done to compensate if the move's user is immune to one of these ailments; there is simply a lower chance that the move's user will be affected.",3
28,Synchronize,シンクロ,싱크로,"If the Pokémon is burned, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition.","자신이 걸린 독이나 마비, 화상을 상대에게 옮긴다.","Whenever this Pokémon is burned, paralyzed, or poisoned, the Pokémon who gave this Pokémon that ailment is also given the ailment.  This ability passes back bad poison when this Pokémon is badly poisoned.  This ability cannot pass on a status ailment that the Pokémon did not directly receive from another Pokémon, such as the poison from toxic spikes or the burn from a flame orb.  Overworld: If the lead Pokémon has this ability, wild Pokémon have a 50% chance of having the lead Pokémon's nature, and a 50% chance of being given a random nature as usual, including the lead Pokémon's nature.  This does not work on Pokémon received outside of battle or roaming legendaries.",3
29,Clear Body,クリアボディ,클리어바디,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,상대 기술이나 특성으로 능력이 떨어지지 않는다.,"This Pokémon cannot have its stats lowered by other Pokémon.  This ability does not prevent any stat losses other than stat modifiers, such as the Speed cut from paralysis.  This Pokémon can still be passed negative stat modifiers through guard swap, heart swap, or power swap.  This ability functions identically to white smoke in battle.",3
30,Natural Cure,しぜんかいふく,자연회복,The Pokémon's status conditions are cured when it switches out.,지닌 포켓몬으로 돌아오면 상태 이상이 회복된다.,"This Pokémon is cured of any major status ailment when it is switched out for another Pokémon.  If this ability is acquired during battle, the Pokémon is cured upon leaving battle before losing the temporary ability.",3
31,Lightning Rod,ひらいしん,피뢰침,"The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.",전기타입의 기술을 자신에게 끌어모아 데미지를 받지 않고 특수공격을 올린다.,"All other Pokémon's single-target electric-type moves are redirected to this Pokémon if it is an eligible target.  Other Pokémon's Electric moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.  If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability.  If the Pokémon is a ground-type and thus immune to Electric moves, its immunity prevents the Special Attack boost.",3
32,Serene Grace,てんのめぐみ,하늘의은총,Raises the likelihood of additional effects occurring when the Pokémon uses its moves.,하늘의 은총 덕분에 기술의 추가 효과가 나오기 쉽다.,"This Pokémon's moves have twice their usual effect chance.  An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, flamethrower's chance of burning the target is doubled, but protect's chance of success and air cutter's increased critical hit rate are unaffected.  secret power is unaffected.",3
33,Swift Swim,すいすい,쓱쓱,Boosts the Pokémon's Speed stat in rain.,비가 오는 날씨일 때 스피드가 올라간다.,This Pokémon's Speed is doubled during rain.  This bonus does not count as a stat modifier.,3
34,Chlorophyll,ようりょくそ,엽록소,Boosts the Pokémon's Speed stat in harsh sunlight.,날씨가 맑을 때 스피드가 올라간다.,This Pokémon's Speed is doubled during strong sunlight.  This bonus does not count as a stat modifier.,3
35,Illuminate,はっこう,발광,"By illuminating its surroundings, the Pokémon prevents its accuracy from being lowered.",주변을 밝게 하여 명중률이 떨어지지 않는다.,"Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.  This ability has no effect in battle.",3
36,Trace,トレース,트레이스,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",등장했을 때 상대의 특성을 트레이스해서 같은 특성이 된다.,"When this Pokémon enters battle, it copies a random opponent's ability.  This ability cannot copy flower gift, forecast, illusion, imposter, multitype, trace, wonder guard, or zen mode.",3
37,Huge Power,ちからもち,천하장사,Doubles the Pokémon's Attack stat.,물리공격의 위력이 2배가 된다.,This Pokémon's Attack is doubled while in battle.  This bonus does not count as a stat modifier.  This ability functions identically to pure power.,3
38,Poison Point,どくのトゲ,독가시,Contact with the Pokémon may poison the attacker.,자신에게 접촉한 상대를 독 상태로 만들 때가 있다.,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being poisoned.",3
39,Inner Focus,せいしんりょく,정신력,The Pokémon's intense focus prevents it from flinching or being affected by Intimidate.,단련한 정신 덕분에 상대의 공격에 풀죽지 않는다. 위협을 당해도 동요하지 않는다.,This Pokémon cannot flinch.,3
40,Magma Armor,マグマのよろい,마그마의무장,The Pokémon's hot magma coating prevents it from being frozen.,뜨거운 마그마를 몸에 둘러서 얼음 상태가 되지 않는다.,"This Pokémon cannot be frozen.  If a Pokémon is frozen and acquires this ability, it will immediately thaw out; this includes when regaining a lost ability upon leaving battle.  Overworld: If any Pokémon in the party has this ability, each egg in the party has its hatch counter decreased by 2 (rather than 1) each step cycle, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or flame body.",3
41,Water Veil,みずのベール,수의베일,The Pokémon's water veil prevents it from being burned.,물의 베일을 몸에 둘러서 화상 상태가 되지 않는다.,"This Pokémon cannot be burned.  If a Pokémon is burned and acquires this ability, its burn is healed; this includes when regaining a lost ability upon leaving battle.",3
42,Magnet Pull,じりょく,자력,Prevents Steel-type Pokémon from fleeing by pulling them in with magnetism.,강철타입의 포켓몬을 자력으로 끌어모아 도망칠 수 없게 한다.,"While this Pokémon is in battle, opposing steel-type Pokémon cannot flee or switch out.  Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.  Overworld: If the lead Pokémon has this ability, Steel-type Pokémon have a higher encounter rate.",3
43,Soundproof,ぼうおん,방음,Soundproofing gives the Pokémon full immunity to all sound-based moves.,소리를 차단하여 소리 기술의 영향을 받지 않는다.,"This Pokémon is immune to moves flagged as being sound-based.  heal bell is unaffected.  uproar still prevents this Pokémon from sleeping.  This Pokémon can still receive a Perish Song counter through baton pass, and will retain a Perish Song counter if it acquires this ability after Perish Song is used.  howl, roar of time, sonic boom, and yawn are not flagged as sound-based.",3
44,Rain Dish,あめうけざら,젖은접시,The Pokémon gradually regains HP in rain.,비가 오는 날씨일 때 조금씩 HP를 회복한다.,This Pokémon heals for 1/16 of its maximum HP after each turn during rain.,3
45,Sand Stream,すなおこし,모래날림,The Pokémon summons a sandstorm when it enters a battle.,등장했을 때 날씨를 모래바람으로 만든다.,"The weather changes to a sandstorm when this Pokémon enters battle and does not end unless cancelled by another weather condition.  If multiple Pokémon with this ability, drizzle, drought, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.  Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm. If the weather is extremely harsh sunlight, heavy rain, or mysterious air current, this ability will not be activated.",3
46,Pressure,プレッシャー,프레셔,"Puts other Pokémon under pressure, causing them to expend more PP to use their moves.",프레셔를 줘서 상대가 쓰는 기술의 PP를 많이 줄인다.,"Moves targetting this Pokémon use one extra PP.  This ability stacks if multiple targets have it.  This ability still affects moves that fail or miss.  This ability does not affect ally moves that target either the entire field or just its side, nor this Pokémon's self-targetted moves; it does, however, affect single-targetted ally moves aimed at this Pokémon, ally moves that target all other Pokémon, and opponents' moves that target the entire field.  If this ability raises a move's PP cost above its remaining PP, it will use all remaining PP.  When this Pokémon enters battle, all participating trainers are notified that it has this ability.  Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",3
47,Thick Fat,あついしぼう,두꺼운지방,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",두꺼운 지방으로 보호되고 있어 불꽃타입과 얼음타입의 기술의 데미지를 반감시킨다.,This Pokémon takes half as much damage from fire- and ice-type moves.,3
48,Early Bird,はやおき,일찍기상,The Pokémon awakens from sleep twice as fast as other Pokémon.,잠듦 상태가 되어도 2배 빠르게 깨어날 수 있다.,"This Pokémon's remaining sleep turn count falls by 2 rather than 1.  If this Pokémon's sleep counter is at 1, it will fall to 0 and then the Pokémon will wake up.",3
49,Flame Body,ほのおのからだ,불꽃몸,Contact with the Pokémon may burn the attacker.,자신에게 접촉한 상대를 화상 상태로 만들 때가 있다.,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being burned.  Overworld: If any Pokémon in the party has this ability, each egg in the party has its hatch counter decreased by 2 (rather than 1) each step cycle, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or magma armor.",3
50,Run Away,にげあし,도주,Enables a sure getaway from wild Pokémon.,야생 포켓몬으로부터 반드시 도망칠 수 있다.,"This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.",3
51,Keen Eye,するどいめ,날카로운눈,The Pokémon's keen eyes prevent its accuracy from being lowered. It also ignores the target's stages in evasion.,날카로운 눈 덕분에 명중률이 떨어지지 않는다.,"This Pokémon cannot have its accuracy lowered.  This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate.  This Pokémon can still be passed negative accuracy modifiers through heart swap.  Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",3
52,Hyper Cutter,かいりきバサミ,괴력집게,"The Pokémon's prized, mighty pincers prevent other Pokémon from lowering its Attack stat.",힘이 자랑인 집게를 가지고 있어 상대가 공격을 떨어뜨리지 못하게 한다.,"This Pokémon's Attack cannot be lowered by other Pokémon.  This ability does not prevent any Attack losses other than stat modifiers, such as the Attack cut from a burn.  This Pokémon can still be passed negative Attack modifiers through heart swap or power swap.",3
53,Pickup,ものひろい,픽업,"The Pokémon may pick up an item another Pokémon used during a battle. It may pick up items outside of battle, too.",상대가 사용한 도구를 주워 올 때가 있다. 모험 중에도 주워 온다.,"At the end of each turn, if another Pokémon consumed or Flung a held item that turn, this Pokémon picks up the item if it is not already holding one.  After each battle, this Pokémon has a 10% chance of picking up an item if it is not already holding one.  The air balloon and eject button cannot be picked up.  The items that may be found vary by game, and, since Pokémon Emerald, by the Pokémon's level.  This ability is checked after the battle ends, at which point any temporary ability changes have worn off.",3
54,Truant,なまけ,게으름,"Each time the Pokémon uses a move, it spends the next turn loafing around.",기술을 사용하면 다음 턴은 쉰다.,"Every second turn on which this Pokémon should attempt to use a move, it will instead do nothing (""loaf around"").  Loafing around interrupts moves that take multiple turns the same way paralysis, flinching, etc do.  Most such moves, for example bide or rollout, are simply cut off upon loafing around.  Attacks with a recharge turn, such as hyper beam, do not have to recharge; attacks with a preparation turn, such as fly, do not end up being used.  Moves that are forced over multiple turns and keep going through failure, such as outrage, uproar, or any move forced by encore, keep going as usual.  If this Pokémon is confused, its confusion is not checked when loafing around; the Pokémon cannot hurt itself, and its confusion does not end or come closer to ending.  If this Pokémon attempts to move but fails, e.g. because of paralysis or gravity, it still counts as having moved and will loaf around the next turn.  If it does not attempt to move, e.g. because it is asleep or frozen, whatever it would have done will be postponed until its next attempt; that is, it will either loaf around or move as usual, depending on what it last did.  This ability cannot be changed with worry seed, but it can be disabled with gastro acid, changed with role play, or traded away with skill swap.",3
55,Hustle,はりきり,의욕,Boosts the Pokémon's Attack stat but lowers its accuracy.,자신의 공격이 높아지지만 명중률이 떨어진다.,"This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy.  Special moves are unaffected.  Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage.  Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",3
56,Cute Charm,メロメロボディ,헤롱헤롱바디,The Pokémon may infatuate attackers that make direct contact with it.,자신에게 접촉한 상대를 헤롱헤롱하게 만들 때가 있다.,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being infatuated.  Overworld: If the first Pokémon in the party has this ability, any wild Pokémon whose species can be either gender has a 2/3 chance of being set to the opposite gender, and a 1/3 chance of having a random gender as usual.",3
57,Plus,プラス,플러스,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,플러스나 마이너스의 특성을 가진 포켓몬이 동료에 있으면 자신의 특수공격이 올라간다.,"This Pokémon has 1.5× its Special Attack if any friendly Pokémon has plus or minus.  This bonus does not count as a stat modifier.  If either ability is disabled by gastro acid, both lose their effect.",3
58,Minus,マイナス,마이너스,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,플러스나 마이너스의 특성을 가진 포켓몬이 동료에 있으면 자신의 특수공격이 올라간다.,"This Pokémon has 1.5× its Special Attack if any friendly Pokémon has plus or minus.  This bonus does not count as a stat modifier.  If either ability is disabled by gastro acid, both lose their effect.",3
59,Forecast,てんきや,기분파,"The Pokémon transforms with the weather to change its type to Water, Fire, or Ice.","날씨의 영향을 받아 물타입, 불꽃타입, 얼음타입 중 하나로 변화한다.","During rain, strong sunlight, or hail, this Pokémon's type changes to water, fire, or ice, respectively, and its form changes to match.  This ability has no effect for any Pokémon other than castform.  If the weather ends or becomes anything that does not trigger this ability, or a Pokémon with air lock or cloud nine enters battle, this Pokémon's type and form revert to their default.  If this ability is lost or disabled, this Pokémon cannot change its current type and form until it regains its ability.",3
60,Sticky Hold,ねんちゃく,점착,The Pokémon's held items cling to its sticky body and cannot be removed by other Pokémon.,점성이 높은 몸에 도구가 달라붙어 있어 상대에게 도구를 뺏기지 않는다.,"This Pokémon's hold item cannot be removed by other Pokémon.  Damaging moves that would remove this Pokémon's item can still inflict damage against this Pokémon, e.g. knock off or pluck.  This Pokémon can still use moves that involve the loss of its own item, e.g. fling or trick.  Overworld: If the lead Pokémon has this ability, the encounter rate while fishing is increased.",3
61,Shed Skin,だっぴ,탈피,The Pokémon may cure its own status conditions by shedding its skin.,몸의 껍질을 벗어 던져 상태 이상을 회복할 때가 있다.,"After each turn, this Pokémon has a 33% of being cured of any major status ailment.",3
62,Guts,こんじょう,근성,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,상태 이상이 되면 근성을 보여서 공격이 올라간다.,"Whenever this Pokémon is asleep, burned, paralyzed, or poisoned, it has 1.5× its Attack.  This Pokémon is not affected by the usual Attack cut from a burn.  This bonus does not count as a stat modifier.",3
63,Marvel Scale,ふしぎなうろこ,이상한비늘,The Pokémon's marvelous scales boost its Defense stat if it has a status condition.,상태 이상이 되면 이상한 비늘이 반응해서 방어가 올라간다.,"Whenever this Pokémon has a major status ailment, it has 1.5× its Defense.  This bonus does not count as a stat modifier.",3
64,Liquid Ooze,ヘドロえき,해감액,The strong stench of the Pokémon's oozed liquid damages attackers that use HP-draining moves.,해감액을 흡수한 상대는 강렬한 악취로 데미지를 받아 HP가 줄어든다.,"Whenever a Pokémon would heal after hitting this Pokémon with a leeching move like absorb, it instead loses as many HP as it would usually gain.  dream eater is unaffected.",3
65,Overgrow,しんりょく,심록,Powers up Grass-type moves when the Pokémon's HP is low.,HP가 줄었을 때 풀타입 기술의 위력이 올라간다.,"When this Pokémon has 1/3 or less of its HP remaining, its grass-type moves inflict 1.5× as much regular damage.",3
66,Blaze,もうか,맹화,Powers up Fire-type moves when the Pokémon's HP is low.,HP가 줄었을 때 불꽃타입 기술의 위력이 올라간다.,"When this Pokémon has 1/3 or less of its HP remaining, its fire-type moves inflict 1.5× as much regular damage.",3
67,Torrent,げきりゅう,급류,Powers up Water-type moves when the Pokémon's HP is low.,HP가 줄었을 때 물타입 기술의 위력이 올라간다.,"When this Pokémon has 1/3 or less of its HP remaining, its water-type moves inflict 1.5× as much regular damage.",3
68,Swarm,むしのしらせ,벌레의알림,Powers up Bug-type moves when the Pokémon's HP is low.,HP가 줄었을 때 벌레타입 기술의 위력이 올라간다.,"When this Pokémon has 1/3 or less of its HP remaining, its bug-type moves inflict 1.5× as much regular damage.  Overworld: If the lead Pokémon has this ability, the wild encounter rate is increased.",3
69,Rock Head,いしあたま,돌머리,Protects the Pokémon from recoil damage.,반동을 받는 기술을 사용해도 HP가 줄지 않는다.,This Pokémon does not receive recoil damage from its recoil moves.  struggle's recoil is unaffected.  This ability does not prevent crash damage from missing with jump kick or high jump kick.,3
70,Drought,ひでり,가뭄,Turns the sunlight harsh when the Pokémon enters a battle.,등장했을 때 날씨를 맑음으로 만든다.,"The weather changes to strong sunlight for 5 turns when this Pokémon enters battle. If multiple Pokémon with this ability, drizzle, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay. If the weather is extremely harsh sunlight, heavy rain, or mysterious air current, this ability will not be activated.",3
71,Arena Trap,ありじごく,개미지옥,Prevents opposing Pokémon from fleeing from battle.,배틀에서 상대를 도망칠 수 없게 한다.,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.  flying-type Pokémon and Pokémon in the air, e.g. due to levitate or magnet rise, are unaffected.  Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.  Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.",3
72,Vital Spirit,やるき,의기양양,"The Pokémon is full of vitality, and that prevents it from falling asleep.",의기양양해져서 잠듦 상태가 되지 않는다.,"This Pokémon cannot be asleep.  This causes rest to fail altogether.  If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle.  This ability functions identically to insomnia in battle.  Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",3
