id,cid,pokemon_species_id,form,name,name_ko,is_independent,hp,attack,defense,special_attack,special_defense,speed,total,type1_id,type2_id,ability1_id,ability2_id,ability_hidden_id,height,weight,base_experience,capture_rate,effort_hp,effort_atk,effort_def,effort_spa,effort_spd,effort_spe,is_battle_only,is_mega,is_gmax,is_region_form,sprite_url
10,10000,10,0,,,1,45,30,35,20,20,45,195,6,,19,,50,3,29,39,255,1,0,0,0,0,0,0,0,,,/static/pokemon_forms/0010_00_Caterpie.png
11,11000,11,0,,,1,50,20,55,25,25,30,205,6,,61,,,7,99,72,120,0,0,2,0,0,0,0,0,,,/static/pokemon_forms/0011_00_Metapod.png
12,12000,12,0,,,1,60,45,50,90,80,70,395,6,2,14,,110,11,320,178,45,0,0,0,2,1,0,0,0,,,/static/pokemon_forms/0012_00_Butterfree.png
10198,12001,12,1,Gigantamax,거다이맥스,0,60,45,50,90,80,70,395,6,2,14,,110,170,10000,178,45,0,0,0,2,1,0,1,0,1,0,/static/pokemon_forms/0012_01_Butterfree.png
13,13000,13,0,,,1,40,35,30,20,20,50,195,6,3,19,,50,3,32,39,255,0,0,0,0,0,1,0,0,,,/static/pokemon_forms/0013_00_Weedle.png
14,14000,14,0,,,1,45,25,50,25,25,35,205,6,3,61,,,6,100,72,120,0,0,2,0,0,0,0,0,,,/static/pokemon_forms/0014_00_Kakuna.png
15,15000,15,0,,,1,65,90,40,45,80,75,395,6,3,68,,97,10,295,178,45,0,2,0,0,1,0,0,0,,,/static/pokemon_forms/0015_00_Beedrill.png
10090,15001,15,1,Mega,메가진화,0,65,150,40,15,80,145,495,6,3,91,,,14,405,223,45,0,2,0,0,1,0,1,1,0,0,/static/pokemon_forms/0015_01_Beedrill.png
16,16000,16,0,,,1,40,45,40,35,35,56,251,0,2,51,77,145,3,18,50,255,0,0,0,0,0,1,0,0,,,/static/pokemon_forms/0016_00_Pidgey.png
17,17000,17,0,,,1,63,60,55,50,50,71,349,0,2,51,77,145,11,300,122,120,0,0,0,0,0,2,0,0,,,/static/pokemon_forms/0017_00_Pidgeotto.png
18,18000,18,0,,,1,83,80,75,70,70,101,479,0,2,51,77,145,15,395,216,45,0,0,0,0,0,3,0,0,,,/static/pokemon_forms/0018_00_Pidgeot.png
10073,18001,18,1,Mega,메가진화,0,83,80,80,135,80,121,579,0,2,99,,,22,505,261,45,0,0,0,0,0,3,1,1,0,0,/static/pokemon_forms/0018_01_Pidgeot.png
19,19000,19,0,,,1,30,56,35,25,35,72,253,0,,50,62,55,3,35,51,255,0,0,0,0,0,1,0,0,,,/static/pokemon_forms/0019_00_Rattata.png
10091,19001,19,1,Alolan,알로라의 모습,1,30,56,35,25,35,72,253,16,0,82,55,47,3,38,51,255,0,0,0,0,0,1,0,0,0,1,/static/pokemon_forms/0019_01_Rattata.png
20,20000,20,0,,,1,55,81,60,50,70,97,413,0,,50,62,55,7,185,145,127,0,0,0,0,0,2,0,0,,,/static/pokemon_forms/0020_00_Raticate.png
10092,20001,20,1,Alolan,알로라의 모습,1,75,71,70,40,80,77,413,16,0,82,55,47,7,255,145,127,0,0,0,0,0,2,0,0,0,1,/static/pokemon_forms/0020_01_Raticate.png
10093,20002,20,2,Totem Pokémon,"주인 포켓몬, 알로라의 모습",0,75,71,70,40,80,77,413,16,0,82,55,47,14,1050,145,127,0,0,0,0,0,2,0,0,0,1,/static/pokemon_forms/0020_02_Raticate.png
21,21000,21,0,,,1,40,60,30,31,31,70,262,0,2,51,,97,3,20,52,255,0,0,0,0,0,1,0,0,,,/static/pokemon_forms/0021_00_Spearow.png
22,22000,22,0,,,1,65,90,65,61,61,100,442,0,2,51,,97,12,380,155,90,0,0,0,0,0,2,0,0,,,/static/pokemon_forms/0022_00_Fearow.png
23,23000,23,0,,,1,35,60,44,40,54,55,288,3,,22,61,127,20,69,58,255,0,1,0,0,0,0,0,0,,,/static/pokemon_forms/0023_00_Ekans.png
24,24000,24,0,,,1,60,95,69,65,79,80,448,3,,22,61,127,35,650,157,90,0,2,0,0,0,0,0,0,,,/static/pokemon_forms/0024_00_Arbok.png
25,25000,25,0,,,1,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,,,/static/pokemon_forms/0025_00_Pikachu.png
10085,25001,25,1,Cosplay Pikachu,옷갈아입기 피카츄,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_06_Pikachu.png
10080,25002,25,2,Pikachu Rock Star,하드록 피카츄,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_01_Pikachu.png
10081,25003,25,3,Pikachu Belle,마담 피카츄,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_02_Pikachu.png
10082,25004,25,4,Pikachu Pop Star,아이돌 피카츄,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_03_Pikachu.png
10083,25005,25,5,Pikachu Ph.D.,박사 피카츄,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_04_Pikachu.png
10084,25006,25,6,Pikachu Libre,마스크드 피카츄,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_05_Pikachu.png
10094,25007,25,7,Original Cap,오리지널캡,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_07_Pikachu.png
10095,25008,25,8,Hoenn Cap,호연캡,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_08_Pikachu.png
10096,25009,25,9,Sinnoh Cap,신오캡,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_09_Pikachu.png
10097,25010,25,10,Unova Cap,하나캡,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_10_Pikachu.png
10098,25011,25,11,Kalos Cap,칼로스캡,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_11_Pikachu.png
10099,25012,25,12,Alola Cap,알로라캡,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_12_Pikachu.png
10148,25013,25,13,Partner Cap,너로정했다캡,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_13_Pikachu.png
10158,25014,25,14,World Cap,월드캡,0,45,80,50,75,60,120,430,12,,9,,31,4,60,86,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_14_Pikachu.png
10160,25015,25,15,Starter Pikachu,파트너 피카츄,0,35,55,40,50,50,90,320,12,,9,,31,4,60,112,190,0,0,0,0,0,2,0,0,0,0,/static/pokemon_forms/0025_15_Pikachu.png
10199,25016,25,16,Gigantamax,거다이맥스,0,35,55,40,50,50,90,320,12,,9,,31,210,10000,112,190,0,0,0,0,0,2,1,0,1,0,/static/pokemon_forms/0025_16_Pikachu.png
26,26000,26,0,,,1,60,90,55,90,80,110,485,12,,9,,31,8,300,218,75,0,0,0,0,0,3,0,0,,,/static/pokemon_forms/0026_00_Raichu.png
10100,26001,26,1,Alolan,알로라의 모습,1,60,85,50,95,85,110,485,12,13,207,,,12,380,243,75,0,0,0,0,0,3,0,0,0,1,/static/pokemon_forms/0026_01_Raichu.png
10304,26002,26,2,Mega X,메가진화 X,0,60,,,,,,585,12,,,,,10,260,218,75,0,0,0,0,0,3,1,1,0,0,/static/pokemon_forms/0026_02_Raichu.png
10305,26003,26,3,Mega Y,메가진화 Y,0,60,,,,,,585,12,,,,,,,218,75,0,0,0,0,0,3,1,1,0,0,/static/pokemon_forms/0026_03_Raichu.png
27,27000,27,0,,,1,50,75,85,20,30,40,300,4,,8,,146,6,120,60,255,0,0,1,0,0,0,0,0,,,/static/pokemon_forms/0027_00_Sandshrew.png
10101,27001,27,1,Alolan,알로라의 모습,1,50,75,90,10,35,40,300,14,8,81,,202,7,400,60,255,0,0,1,0,0,0,0,0,0,1,/static/pokemon_forms/0027_01_Sandshrew.png
28,28000,28,0,,,1,75,100,110,45,55,65,450,4,,8,,146,10,295,158,90,0,0,2,0,0,0,0,0,,,/static/pokemon_forms/0028_00_Sandslash.png
10102,28001,28,1,Alolan,알로라의 모습,1,75,100,120,25,65,65,450,14,8,81,,202,12,550,158,90,0,0,2,0,0,0,0,0,0,1,/static/pokemon_forms/0028_01_Sandslash.png
29,29000,29,0,,,1,55,47,52,40,40,41,275,3,,38,79,55,4,70,55,235,1,0,0,0,0,0,0,0,,,/static/pokemon_forms/0029_00_Nidoran♀.png
30,30000,30,0,,,1,70,62,67,55,55,56,365,3,,38,79,55,8,200,128,120,2,0,0,0,0,0,0,0,,,/static/pokemon_forms/0030_00_Nidorina.png
31,31000,31,0,,,1,90,92,87,75,85,76,505,3,4,38,79,125,13,600,227,45,3,0,0,0,0,0,0,0,,,/static/pokemon_forms/0031_00_Nidoqueen.png
32,32000,32,0,,,1,46,57,40,40,40,50,273,3,,38,79,55,5,90,55,235,0,1,0,0,0,0,0,0,,,/static/pokemon_forms/0032_00_Nidoran♂.png
33,33000,33,0,,,1,61,72,57,55,55,65,365,3,,38,79,55,9,195,128,120,0,2,0,0,0,0,0,0,,,/static/pokemon_forms/0033_00_Nidorino.png
34,34000,34,0,,,1,81,102,77,85,75,85,505,3,4,38,79,125,14,620,227,45,0,3,0,0,0,0,0,0,,,/static/pokemon_forms/0034_00_Nidoking.png
35,35000,35,0,,,1,70,45,48,60,65,35,323,17,,56,98,132,6,75,113,150,2,0,0,0,0,0,0,0,,,/static/pokemon_forms/0035_00_Clefairy.png
36,36000,36,0,,,1,95,70,73,95,90,60,483,17,,56,98,109,13,400,217,25,3,0,0,0,0,0,0,0,,,/static/pokemon_forms/0036_00_Clefable.png
10278,36001,36,1,Mega,메가진화,0,95,80,93,135,110,70,583,17,2,,,,17,423,217,25,3,0,0,0,0,0,1,1,0,0,/static/pokemon_forms/0036_01_Clefable.png
37,37000,37,0,,,1,38,41,40,50,65,65,299,9,,18,,70,6,99,60,190,0,0,0,0,0,1,0,0,,,/static/pokemon_forms/0037_00_Vulpix.png
10103,37001,37,1,Alolan,알로라의 모습,1,38,41,40,50,65,65,299,14,,81,,117,6,99,60,190,0,0,0,0,0,1,0,0,0,1,/static/pokemon_forms/0037_01_Vulpix.png
38,38000,38,0,,,1,73,76,75,81,100,100,505,9,,18,,70,11,199,177,75,0,0,0,0,1,1,0,0,,,/static/pokemon_forms/0038_00_Ninetales.png
10104,38001,38,1,Alolan,알로라의 모습,1,73,67,75,81,100,109,505,14,17,81,,117,11,199,177,75,0,0,0,0,0,2,0,0,0,1,/static/pokemon_forms/0038_02_Ninetales.png
39,39000,39,0,,,1,115,45,20,45,25,20,270,0,17,56,172,132,5,55,95,170,2,0,0,0,0,0,0,0,,,/static/pokemon_forms/0039_00_Jigglypuff.png
40,40000,40,0,,,1,140,70,45,85,50,45,435,0,17,56,172,119,10,120,196,50,3,0,0,0,0,0,0,0,,,/static/pokemon_forms/0040_00_Wigglytuff.png
41,41000,41,0,,,1,40,45,35,30,40,55,245,3,2,39,,151,8,75,49,255,0,0,0,0,0,1,0,0,,,/static/pokemon_forms/0041_00_Zubat.png
42,42000,42,0,,,1,75,80,70,65,75,90,455,3,2,39,,151,16,550,159,90,0,0,0,0,0,2,0,0,,,/static/pokemon_forms/0042_00_Golbat.png
43,43000,43,0,,,1,45,50,55,75,65,30,320,11,3,34,,50,5,54,64,255,0,0,0,1,0,0,0,0,,,/static/pokemon_forms/0043_00_Oddish.png
44,44000,44,0,,,1,60,65,70,85,75,40,395,11,3,34,,1,8,86,138,120,0,0,0,2,0,0,0,0,,,/static/pokemon_forms/0044_00_Gloom.png
45,45000,45,0,,,1,75,80,85,110,90,50,490,11,3,34,,27,12,186,221,45,0,0,0,3,0,0,0,0,,,/static/pokemon_forms/0045_00_Vileplume.png
46,46000,46,0,,,1,35,70,55,45,55,25,285,6,11,27,87,6,3,54,57,190,0,1,0,0,0,0,0,0,,,/static/pokemon_forms/0046_00_Paras.png
47,47000,47,0,,,1,60,95,80,60,80,30,405,6,11,27,87,6,10,295,142,75,0,2,1,0,0,0,0,0,,,/static/pokemon_forms/0047_00_Parasect.png
48,48000,48,0,,,1,60,55,50,40,55,45,305,6,3,14,110,50,10,300,61,190,0,0,0,0,1,0,0,0,,,/static/pokemon_forms/0048_00_Venonat.png
49,49000,49,0,,,1,70,65,60,90,75,90,450,6,3,19,110,147,15,125,158,75,0,0,0,1,0,1,0,0,,,/static/pokemon_forms/0049_00_Venomoth.png
50,50000,50,0,,,1,10,55,25,35,45,95,265,4,,8,71,159,2,8,53,255,0,0,0,0,0,1,0,0,,,/static/pokemon_forms/0050_00_Diglett.png
10105,50001,50,1,Alolan,알로라의 모습,1,10,55,30,35,45,90,265,4,8,8,221,159,2,10,53,255,0,0,0,0,0,1,0,0,0,1,/static/pokemon_forms/0050_01_Diglett.png
51,51000,51,0,,,1,35,100,50,50,70,120,425,4,,8,71,159,7,333,149,50,0,0,0,0,0,2,0,0,,,/static/pokemon_forms/0051_00_Dugtrio.png
10106,51001,51,1,Alolan,알로라의 모습,1,35,100,60,50,70,110,425,4,8,8,221,159,7,666,149,50,0,2,0,0,0,0,0,0,0,1,/static/pokemon_forms/0051_01_Dugtrio.png
52,52000,52,0,,,1,40,45,35,40,40,90,290,0,,53,101,127,4,42,58,255,0,0,0,0,0,1,0,0,,,/static/pokemon_forms/0052_00_Meowth.png
10107,52001,52,1,Alolan,알로라의 모습,1,40,35,35,50,40,90,290,16,,53,101,155,4,42,58,255,0,0,0,0,0,1,0,0,0,1,/static/pokemon_forms/0052_01_Meowth.png
10161,52002,52,2,Galarian,가라르의 모습,1,50,65,55,40,40,40,290,8,,53,181,127,4,75,58,255,0,1,0,0,0,0,0,0,0,1,/static/pokemon_forms/0052_02_Meowth.png
10200,52003,52,3,Gigantamax,거다이맥스,0,40,45,35,40,40,90,290,0,,53,101,127,330,10000,58,255,0,0,0,0,0,1,1,0,1,0,/static/pokemon_forms/0052_03_Meowth.png
53,53000,53,0,,,1,65,70,60,65,65,115,440,0,,7,101,127,10,320,154,90,0,0,0,0,0,2,0,0,,,/static/pokemon_forms/0053_00_Persian.png
10108,53001,53,1,Alolan,알로라의 모습,1,65,60,60,75,65,115,440,16,,169,101,155,11,330,154,90,0,0,0,0,0,2,0,0,0,1,/static/pokemon_forms/0053_01_Persian.png
54,54000,54,0,,,1,50,52,48,65,50,55,320,10,,6,13,33,8,196,64,190,0,0,0,1,0,0,0,0,,,/static/pokemon_forms/0054_00_Psyduck.png
55,55000,55,0,,,1,80,82,78,95,80,85,500,10,,6,13,33,17,766,175,75,0,0,0,2,0,0,0,0,,,/static/pokemon_forms/0055_00_Golduck.png
56,56000,56,0,,,1,40,80,35,35,45,70,305,1,,72,83,128,5,280,61,190,0,1,0,0,0,0,0,0,,,/static/pokemon_forms/0056_00_Mankey.png
57,57000,57,0,,,1,65,105,60,60,70,95,455,1,,72,83,128,10,320,159,75,0,2,0,0,0,0,0,0,,,/static/pokemon_forms/0057_00_Primeape.png
58,58000,58,0,,,1,55,70,45,70,50,60,350,9,,22,18,154,7,190,70,190,0,1,0,0,0,0,0,0,,,/static/pokemon_forms/0058_00_Growlithe.png
10229,58001,58,1,Hisuian,히스이의 모습,1,60,75,45,65,50,55,350,9,5,22,18,69,8,227,70,190,0,1,0,0,0,0,0,0,0,1,/static/pokemon_forms/0058_01_Growlithe.png
59,59000,59,0,,,1,90,110,80,100,80,95,555,9,,22,18,154,19,1550,194,75,0,2,0,0,0,0,0,0,,,/static/pokemon_forms/0059_00_Arcanine.png
10230,59001,59,1,Hisuian,히스이의 모습,1,95,115,80,95,80,90,555,9,5,22,18,69,20,1680,194,75,0,2,0,0,0,0,0,0,0,1,/static/pokemon_forms/0059_01_Arcanine.png
60,60000,60,0,,,1,40,50,40,40,40,90,300,10,,11,6,33,6,124,60,255,0,0,0,0,0,1,0,0,,,/static/pokemon_forms/0060_00_Poliwag.png
61,61000,61,0,,,1,65,65,65,50,50,90,385,10,,11,6,33,10,200,135,120,0,0,0,0,0,2,0,0,,,/static/pokemon_forms/0061_00_Poliwhirl.png
62,62000,62,0,,,1,90,95,95,70,90,70,510,10,1,11,6,33,13,540,230,45,0,0,3,0,0,0,0,0,,,/static/pokemon_forms/0062_00_Poliwrath.png
63,63000,63,0,,,1,25,20,15,105,55,90,310,13,,28,39,98,9,195,62,200,0,0,0,1,0,0,0,0,,,/static/pokemon_forms/0063_00_Abra.png
64,64000,64,0,,,1,40,35,30,120,70,105,400,13,,28,39,98,13,565,140,100,0,0,0,2,0,0,0,0,,,/static/pokemon_forms/0064_00_Kadabra.png
65,65000,65,0,,,1,55,50,45,135,95,120,500,13,,28,39,98,15,480,225,50,0,0,0,3,0,0,0,0,,,/static/pokemon_forms/0065_00_Alakazam.png
10037,65001,65,1,Mega,메가진화,0,55,50,65,175,105,150,600,13,,36,,,12,480,270,50,0,0,0,3,0,0,1,1,0,0,/static/pokemon_forms/0065_01_Alakazam.png
66,66000,66,0,,,1,70,80,50,35,35,35,305,1,,62,99,80,8,195,61,180,0,1,0,0,0,0,0,0,,,/static/pokemon_forms/0066_00_Machop.png
67,67000,67,0,,,1,80,100,70,50,60,45,405,1,,62,99,80,15,705,142,90,0,2,0,0,0,0,0,0,,,/static/pokemon_forms/0067_00_Machoke.png
68,68000,68,0,,,1,90,130,80,65,85,55,505,1,,62,99,80,16,1300,227,45,0,3,0,0,0,0,0,0,,,/static/pokemon_forms/0068_00_Machamp.png
10201,68001,68,1,Gigantamax,거다이맥스,0,90,130,80,65,85,55,505,1,,62,99,80,250,10000,227,45,0,3,0,0,0,0,1,0,1,0,/static/pokemon_forms/0068_01_Machamp.png
69,69000,69,0,,,1,50,75,35,70,30,40,300,11,3,34,,82,7,40,60,255,0,1,0,0,0,0,0,0,,,/static/pokemon_forms/0069_00_Bellsprout.png
70,70000,70,0,,,1,65,90,50,85,45,55,390,11,3,34,,82,10,64,137,120,0,2,0,0,0,0,0,0,,,/static/pokemon_forms/0070_00_Weepinbell.png
71,71000,71,0,,,1,80,105,65,100,70,70,490,11,3,34,,82,17,155,221,45,0,3,0,0,0,0,0,0,,,/static/pokemon_forms/0071_00_Victreebel.png
10279,71001,71,1,Mega,메가진화,0,80,125,85,135,95,70,590,11,3,,,,45,1255,221,45,0,3,0,0,0,0,1,1,0,0,/static/pokemon_forms/0071_01_Victreebel.png
72,72000,72,0,,,1,40,40,35,50,100,70,335,10,3,29,64,44,9,455,67,190,0,0,0,0,1,0,0,0,,,/static/pokemon_forms/0072_00_Tentacool.png
73,73000,73,0,,,1,80,70,65,80,120,100,515,10,3,29,64,44,16,550,180,60,0,0,0,0,2,0,0,0,,,/static/pokemon_forms/0073_00_Tentacruel.png
74,74000,74,0,,,1,40,80,100,30,30,20,300,5,4,69,5,8,4,200,60,255,0,0,1,0,0,0,0,0,,,/static/pokemon_forms/0074_00_Geodude.png
10109,74001,74,1,Alolan,알로라의 모습,1,40,80,100,30,30,20,300,5,12,42,5,206,4,203,60,255,0,0,1,0,0,0,0,0,0,1,/static/pokemon_forms/0074_01_Geodude.png
75,75000,75,0,,,1,55,95,115,45,45,35,390,5,4,69,5,8,10,1050,137,120,0,0,2,0,0,0,0,0,,,/static/pokemon_forms/0075_00_Graveler.png
10110,75001,75,1,Alolan,알로라의 모습,1,55,95,115,45,45,35,390,5,12,42,5,206,10,1100,137,120,0,0,2,0,0,0,0,0,0,1,/static/pokemon_forms/0075_01_Graveler.png
76,76000,76,0,,,1,80,120,130,55,65,45,495,5,4,69,5,8,14,3000,223,45,0,0,3,0,0,0,0,0,,,/static/pokemon_forms/0076_00_Golem.png
10111,76001,76,1,Alolan,알로라의 모습,1,80,120,130,55,65,45,495,5,12,42,5,206,17,3160,223,45,0,0,3,0,0,0,0,0,0,1,/static/pokemon_forms/0076_01_Golem.png
77,77000,77,0,,,1,50,85,55,65,65,90,410,9,,50,18,49,10,300,82,190,0,0,0,0,0,1,0,0,,,/static/pokemon_forms/0077_00_Ponyta.png
10162,77001,77,1,Galarian,가라르의 모습,1,50,85,55,65,65,90,410,13,,50,257,107,8,240,82,190,0,0,0,0,0,1,0,0,0,1,/static/pokemon_forms/0077_01_Ponyta.png
78,78000,78,0,,,1,65,100,70,80,80,105,500,9,,50,18,49,17,950,175,60,0,0,0,0,0,2,0,0,,,/static/pokemon_forms/0078_00_Rapidash.png
10163,78001,78,1,Galarian,가라르의 모습,1,65,100,70,80,80,105,500,13,17,50,257,107,17,800,175,60,0,0,0,0,0,2,0,0,0,1,/static/pokemon_forms/0078_01_Rapidash.png
79,79000,79,0,,,1,90,65,65,40,40,15,315,10,13,12,20,144,12,360,63,190,1,0,0,0,0,0,0,0,,,/static/pokemon_forms/0079_00_Slowpoke.png
10164,79001,79,1,Galarian,가라르의 모습,1,90,65,65,40,40,15,315,13,,82,20,144,12,360,63,190,1,0,0,0,0,0,0,0,0,1,/static/pokemon_forms/0079_01_Slowpoke.png
80,80000,80,0,,,1,95,75,110,100,80,30,490,10,13,12,20,144,16,785,172,75,0,0,2,0,0,0,0,0,,,/static/pokemon_forms/0080_00_Slowbro.png
10071,80001,80,1,Mega,메가진화,0,95,75,180,130,80,30,590,10,13,75,,,20,1200,207,75,0,0,2,0,0,0,1,1,0,0,/static/pokemon_forms/0080_01_Slowbro.png
10165,80002,80,2,Galarian,가라르의 모습,1,95,100,95,100,70,30,490,3,13,259,20,144,16,705,172,75,0,2,0,0,0,0,0,0,0,1,/static/pokemon_forms/0080_02_Slowbro.png
81,81000,81,0,,,1,25,35,70,95,55,45,325,12,8,42,5,148,3,60,65,190,0,0,0,1,0,0,0,0,,,/static/pokemon_forms/0081_00_Magnemite.png
82,82000,82,0,,,1,50,60,95,120,70,70,465,12,8,42,5,148,10,600,163,60,0,0,0,2,0,0,0,0,,,/static/pokemon_forms/0082_00_Magneton.png
83,83000,83,0,,,1,52,90,55,58,62,60,377,0,2,51,39,128,8,150,132,45,0,1,0,0,0,0,0,0,,,/static/pokemon_forms/0083_00_Farfetch'd.png
10166,83001,83,1,Galarian,가라르의 모습,1,52,95,55,58,62,55,377,1,,80,80,113,8,420,132,45,0,1,0,0,0,0,0,0,0,1,/static/pokemon_forms/0083_01_Farfetch'd.png
84,84000,84,0,,,1,35,85,45,35,35,75,310,0,2,50,48,77,14,392,62,190,0,1,0,0,0,0,0,0,,,/static/pokemon_forms/0084_00_Doduo.png
85,85000,85,0,,,1,60,110,70,60,60,110,470,0,2,50,48,77,18,852,165,45,0,2,0,0,0,0,0,0,,,/static/pokemon_forms/0085_00_Dodrio.png
86,86000,86,0,,,1,65,45,55,45,70,45,325,10,,47,93,115,11,900,65,190,0,0,0,0,1,0,0,0,,,/static/pokemon_forms/0086_00_Seel.png
87,87000,87,0,,,1,90,70,80,70,95,70,475,10,14,47,93,115,17,1200,166,75,0,0,0,0,2,0,0,0,,,/static/pokemon_forms/0087_00_Dewgong.png
88,88000,88,0,,,1,80,80,50,40,50,25,325,3,,1,60,143,9,300,65,190,1,0,0,0,0,0,0,0,,,/static/pokemon_forms/0088_00_Grimer.png
10112,88001,88,1,Alolan,알로라의 모습,1,80,80,50,40,50,25,325,3,16,143,82,223,7,420,65,190,1,0,0,0,0,0,0,0,0,1,/static/pokemon_forms/0088_01_Grimer.png
89,89000,89,0,,,1,105,105,75,65,100,50,500,3,,1,60,143,12,300,175,75,1,1,0,0,0,0,0,0,,,/static/pokemon_forms/0089_00_Muk.png
10113,89001,89,1,Alolan,알로라의 모습,1,105,105,75,65,100,50,500,3,16,143,82,223,10,520,175,75,1,1,0,0,0,0,0,0,0,1,/static/pokemon_forms/0089_02_Muk.png
90,90000,90,0,,,1,30,65,100,45,25,40,305,10,,75,92,142,3,40,61,190,0,0,1,0,0,0,0,0,,,/static/pokemon_forms/0090_00_Shellder.png
