id,name,name_jp,name_ko,effect_entry,effect_entry_ko,type_id,damage_class_id,power,accuracy,pp,priority,move_target_id,is_contact,crit_rate,drain,healing,min_hits,max_hits,introduced_in_generation_id
45,Growl,なきごえ,울음소리,Lowers the target's Attack by one stage.,귀여운 울음소리를 들려주고 관심을 끌어 방심한 사이에 상대의 공격을 떨어뜨린다.,0,2,,100,40,0,6,0,,,,,,1
46,Roar,ほえる,울부짖기,Switches the target out for another of its trainer's Pokémon selected at random. Wild battles end immediately. Doesn't affect Pokémon with suction cups or under the effect of ingrain.,상대를 도망가게 해서 교대할 포켓몬을 끌어낸다. 야생의 경우에는 배틀이 끝난다.,0,2,,,20,-6,0,0,,,,,,1
47,Sing,うたう,노래하기,Puts the target to sleep.,기분 좋은 예쁜 노랫소리를 들려주고 상대를 잠듦 상태로 만든다.,0,2,,55,15,0,0,0,,,,,,1
48,Supersonic,ちょうおんぱ,초음파,Confuses the target.,특수한 음파를 몸에서 발산하여 상대를 혼란시킨다.,0,2,,55,20,0,0,0,,,,,,1
49,Sonic Boom,ソニックブーム,소닉붐,Inflicts exactly 20 damage.,충격파를 상대에 부딪쳐서 공격한다. 언제나 20의 데미지를 준다.,0,1,,90,20,0,0,0,,,,,,1
50,Disable,かなしばり,사슬묶기,"Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field. If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail.",상대의 움직임을 막아 바로 전에 쓴 기술을 4턴 동안 사용할 수 없게 만든다.,0,2,,100,20,0,0,0,,,,,,1
51,Acid,ようかいえき,용해액,Inflicts regular damage. Has a 10% chance to lower the target's Special Defense by one stage.,강한 산을 상대에게 끼얹어 공격한다. 상대의 특수방어를 떨어뜨릴 때가 있다.,3,1,40,100,30,0,6,0,,,,,,1
52,Ember,ひのこ,불꽃세례,Inflicts regular damage. Has a 10% chance to burn the target.,작은 불꽃을 상대에게 발사하여 공격한다. 화상 상태로 만들 때가 있다.,9,1,40,100,25,0,0,0,,,,,,1
53,Flamethrower,かえんほうしゃ,화염방사,Inflicts regular damage. Has a 10% chance to burn the target.,세찬 불꽃을 상대에게 발사하여 공격한다. 화상 상태로 만들 때가 있다.,9,1,90,100,15,0,0,0,,,,,,1
54,Mist,しろいきり,흰안개,"Pokémon on the user's side of the field are immune to stat-lowering effects for five turns. guard swap, heart swap, and power swap may still be used. defog used by an opponent will end this effect.",하얀 안개로 몸을 덮는다. 5턴 동안 상대에 의해 능력이 떨어지지 않게 된다.,14,2,,,30,0,14,0,,,,,,1
55,Water Gun,みずでっぽう,물대포,Inflicts regular damage.,물을 기세 좋게 상대에게 발사하여 공격한다.,10,1,40,100,25,0,0,0,,,,,,1
56,Hydro Pump,ハイドロポンプ,하이드로펌프,Inflicts regular damage.,대량의 물을 세찬 기세로 상대에게 발사하여 공격한다.,10,1,110,80,5,0,0,0,,,,,,1
57,Surf,なみのり,파도타기,"Inflicts regular damage. If the target is in the first turn of dive, this move will hit with double power.",큰 파도로 자신의 주위에 있는 포켓몬을 공격한다. 물 위도 헤엄쳐서 나아간다.,10,1,90,100,15,0,5,0,,,,,,1
58,Ice Beam,れいとうビーム,냉동빔,Inflicts regular damage. Has a 10% chance to freeze the target.,냉동빔을 상대에게 발사하여 공격한다. 얼음 상태로 만들 때가 있다.,14,1,90,100,10,0,0,0,,,,,,1
59,Blizzard,ふぶき,눈보라,"Inflicts regular damage. Has a 10% chance to freeze the target. During hail, this move has 100% accuracy. It also has a (100 - accuracy)% chance to break through the protection of protect and detect.",세찬 눈보라를 상대에게 내뿜어 공격한다. 얼음 상태로 만들 때가 있다.,14,1,110,70,5,0,6,0,,,,,,1
60,Psybeam,サイケこうせん,환상빔,Inflicts regular damage. Has a 10% chance to confuse the target.,이상한 광선을 상대에게 발사하여 공격한다. 혼란시킬 때가 있다.,13,1,65,100,20,0,0,0,,,,,,1
61,Bubble Beam,バブルこうせん,거품광선,Inflicts regular damage. Has a 10% chance to lower the target's Speed by one stage.,거품을 기세 좋게 상대에게 발사하여 공격한다. 스피드를 떨어뜨릴 때가 있다.,10,1,65,100,20,0,0,0,,,,,,1
62,Aurora Beam,オーロラビーム,오로라빔,Inflicts regular damage. Has a 10% chance to lower the target's Attack by one stage.,무지개색의 빔을 상대에게 발사하여 공격한다. 공격을 떨어뜨릴 때가 있다.,14,1,65,100,20,0,0,0,,,,,,1
63,Hyper Beam,はかいこうせん,파괴광선,"Inflicts regular damage. User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",강한 광선을 상대에게 발사하여 공격한다. 다음 턴은 움직일 수 없다.,0,1,150,90,5,0,0,0,,,,,,1
64,Peck,つつく,쪼기,Inflicts regular damage.,날카롭고 뾰족한 부리나 뿔로 상대를 쪼아서 공격한다.,2,0,35,100,35,0,1,1,,,,,,1
65,Drill Peck,ドリルくちばし,회전부리,Inflicts regular damage.,회전하면서 뾰족한 부리를 상대에게 꿰찔러 공격한다.,2,0,80,100,20,0,1,1,,,,,,1
66,Submission,じごくぐるま,지옥의바퀴,Inflicts regular damage. User takes 1/4 the damage it inflicts in recoil.,땅에 자신과 함께 상대를 내던져 공격한다. 자신도 조금 데미지를 입는다.,1,0,80,80,20,0,0,1,,-25,,,,1
67,Low Kick,けたぐり,안다리걸기,"Inflicts regular damage. Power increases with the target's weight in kilograms, to a maximum of 120. Target's weight | Power --------------- | ----: Up to 10kg   |  20 Up to 25kg   |  40 Up to 50kg   |  60 Up to 100kg   |  80 Up to 200kg   |  100 Above 200kg   |  120 ",발을 강하게 걸고 상대를 넘어뜨려 공격한다. 상대가 무거울수록 위력이 올라간다.,1,0,,100,20,0,0,1,,,,,,1
68,Counter,カウンター,카운터,"Targets the last opposing Pokémon to hit the user with a physical move this turn. Inflicts twice the damage that move did to the user. If there is no eligible target, this move will fail. Type immunity applies, but other type effects are ignored. This move cannot be copied by mirror move, nor selected by assist or metronome.",상대로부터 받은 물리공격의 데미지를 2배로 만들어 같은 상대에게 돌려준다.,1,0,,100,20,-5,15,1,,,,,,1
69,Seismic Toss,ちきゅうなげ,지구던지기,"Inflicts damage equal to the user's level. Type immunity applies, but other type effects are ignored.",인력을 사용해 내던진다. 자신의 레벨과 똑같은 데미지를 상대에게 준다.,1,0,,100,20,0,0,1,,,,,,1
70,Strength,かいりき,괴력,Inflicts regular damage.,혼신의 힘으로 상대를 세게 때려서 공격한다. 무거운 돌을 밀 수도 있다.,0,0,80,100,15,0,0,1,,,,,,1
71,Absorb,すいとる,흡수,Inflicts regular damage. Drains half the damage inflicted to heal the user.,양분을 흡수하여 공격한다. 상대에게 입힌 데미지의 절반에 해당하는 HP를 회복할 수 있다.,11,1,20,100,25,0,0,0,,50,,,,1
72,Mega Drain,メガドレイン,메가드레인,Inflicts regular damage. Drains half the damage inflicted to heal the user.,양분을 흡수하여 공격한다. 상대에게 입힌 데미지의 절반에 해당하는 HP를 회복할 수 있다.,11,1,40,100,15,0,0,0,,50,,,,1
73,Leech Seed,やどりぎのタネ,씨뿌리기,Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken. Has no effect on grass Pokémon. The seed remains until the target leaves the field. The user takes damage instead of being healed if the target has liquid ooze. rapid spin will remove this effect. This effect is passed on by baton pass.,씨가 뿌려진 상대의 HP를 매 턴 조금씩 흡수하여 자신의 HP를 회복한다.,11,2,,90,10,0,0,0,,,,,,1
74,Growth,せいちょう,성장,"Raises the user's Attack and Special Attack by one stage each. During sunny day, raises both stats by two stages.",몸을 일시에 크게 성장시켜 공격과 특수공격을 올린다.,0,2,,,20,0,9,0,,,,,,1
75,Razor Leaf,はっぱカッター,잎날가르기,Inflicts regular damage. User's critical hit rate is one level higher when using this move.,잎사귀를 날려 상대를 베어 공격한다. 급소에 맞기 쉽다.,11,0,55,95,25,0,6,0,1,,,,,1
76,Solar Beam,ソーラービーム,솔라빔,"Inflicts regular damage. User charges for one turn before attacking. During sunny day, the charge turn is skipped. During hail, rain dance, or sandstorm, power is halved. This move cannot be selected by sleep talk.",1턴째에 빛을 가득 모아 2턴째에 빛의 다발을 발사하여 공격한다.,11,1,120,100,10,0,0,0,,,,,,1
77,Poison Powder,どくのこな,독가루,Poisons the target.,독이 있는 가루를 많이 흩뿌려서 상대를 독 상태로 만든다.,3,2,,75,35,0,0,0,,,,,,1
78,Stun Spore,しびれごな,저리가루,Paralyzes the target.,저리 가루를 많이 흩뿌려서 상대를 마비 상태로 만든다.,11,2,,75,30,0,0,0,,,,,,1
79,Sleep Powder,ねむりごな,수면가루,Puts the target to sleep.,잠이 오는 가루를 많이 흩뿌려서 상대를 잠듦 상태로 만든다.,11,2,,75,15,0,0,0,,,,,,1
80,Petal Dance,はなびらのまい,꽃잎댄스,"Inflicts regular damage. User is forced to attack with this move for 2–3 turns,selected at random. After the last hit, the user becomes confused. safeguard does not protect against the confusion from this move.",2-3턴 동안 꽃을 흩뿌려서 상대를 공격한다. 흩뿌린 뒤에는 혼란에 빠진다.,11,1,120,100,10,0,11,1,,,,,,1
81,String Shot,いとをはく,실뿜기,Lowers the target's Speed by two stages.,입에서 뿜어낸 실을 휘감아서 상대의 스피드를 크게 떨어뜨린다.,6,2,,95,40,0,6,0,,,,,,1
82,Dragon Rage,りゅうのいかり,용의분노,Inflicts exactly 40 damage.,분노의 충격파를 상대에게 부딪쳐서 공격한다. 언제나 40의 데미지를 준다.,15,1,,100,10,0,0,0,,,,,,1
83,Fire Spin,ほのおのうず,회오리불꽃,"Inflicts regular damage. For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn. The user continues to use other moves during this time. If the user leaves the field, this effect ends. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use. rapid spin cancels this effect.",세차게 소용돌이치는 불꽃 속에 4-5턴 동안 상대를 가두어 공격한다.,9,1,35,85,15,0,0,0,,,,,,1
84,Thunder Shock,でんきショック,전기쇼크,Inflicts regular damage. Has a 10% chance to paralyze the target.,전기 자극을 상대에게 날려서 공격한다. 마비 상태로 만들 때가 있다.,12,1,40,100,30,0,0,0,,,,,,1
85,Thunderbolt,１０まんボルト,10만볼트,Inflicts regular damage. Has a 10% chance to paralyze the target.,강한 전격을 상대에게 날려서 공격한다. 마비 상태로 만들 때가 있다.,12,1,90,100,15,0,0,0,,,,,,1
86,Thunder Wave,でんじは,전기자석파,Paralyzes the target.,약한 전격을 날려서 상대를 마비 상태로 만든다.,12,2,,90,20,0,0,0,,,,,,1
87,Thunder,かみなり,번개,"Inflicts regular damage. Has a 30% chance to paralyze the target. During rain dance, this move has 100% accuracy. It also has a (100 - accuracy)% chance to break through the protection of protect and detect. During sunny day, this move has 50% accuracy.",강한 번개를 상대에게 떨어뜨려 공격한다. 마비 상태로 만들 때가 있다.,12,1,110,70,10,0,0,0,,,,,,1
88,Rock Throw,いわおとし,돌떨구기,Inflicts regular damage.,작은 바위를 들어올려 상대에게 내던져서 공격한다.,5,0,50,90,15,0,0,0,,,,,,1
89,Earthquake,じしん,지진,"Inflicts regular damage. If the target is in the first turn of dig, this move will hit with double power.",지진의 충격으로 자신의 주위에 있는 포켓몬을 공격한다.,4,0,100,100,10,0,5,0,,,,,,1
90,Fissure,じわれ,땅가르기,"Inflicts damage equal to the target's max HP. Ignores accuracy and evasion modifiers. This move's accuracy is 30% plus 1% for each level the user is higher than the target. If the user is a lower level than the target, this move will fail. Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting. The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target. However, they will not give this move a chance to break through detect or protect.",땅이 갈라진 곳에 상대를 떨어뜨려 공격한다. 맞으면 일격에 기절한다.,4,0,,30,5,0,0,0,,,,,,1
91,Dig,あなをほる,구멍파기,"Inflicts regular damage. User digs underground for one turn, becoming immune to attack, and hits on the second turn. During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate. The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard. This move cannot be selected by sleep talk.",1턴째에 파고들어 2턴째에 상대를 공격한다. 동굴에서 탈출할 수도 있다.,4,0,80,100,10,0,0,1,,,,,,1
92,Toxic,どくどく,맹독,Badly poisons the target. Never misses when used by a poison-type Pokémon.,상대를 맹독의 상태로 만든다. 턴이 진행될수록 독의 데미지가 증가한다.,3,2,,90,10,0,0,0,,,,,,1
93,Confusion,ねんりき,염동력,Inflicts regular damage. Has a 10% chance to confuse the target.,약한 염동력을 상대에게 보내어 공격한다. 상대를 혼란시킬 때가 있다.,13,1,50,100,25,0,0,0,,,,,,1
94,Psychic,サイコキネシス,사이코키네시스,Inflicts regular damage. Has a 10% chance to lower the target's Special Defense by one stage.,강한 염동력을 상대에게 보내어 공격한다. 상대의 특수방어를 떨어뜨릴 때가 있다.,13,1,90,100,10,0,0,0,,,,,,1
95,Hypnosis,さいみんじゅつ,최면술,Puts the target to sleep.,졸음을 유도하는 암시를 걸어서 상대를 잠듦 상태로 만든다.,13,2,,60,20,0,0,0,,,,,,1
96,Meditate,ヨガのポーズ,요가포즈,Raises the user's Attack by one stage.,잠들어 있는 힘을 몸속에서 끌어내어 자신의 공격을 올린다.,13,2,,,40,0,9,0,,,,,,1
97,Agility,こうそくいどう,고속이동,Raises the user's Speed by two stages.,힘을 빼고 몸을 가볍게 해서 고속으로 움직인다. 자신의 스피드를 크게 올린다.,13,2,,,30,0,9,0,,,,,,1
98,Quick Attack,でんこうせっか,전광석화,Inflicts regular damage.,눈에 보이지 않는 굉장한 속도로 상대에게 돌진한다. 반드시 선제공격할 수 있다.,0,0,40,100,30,1,0,1,,,,,,1
99,Rage,いかり,분노,"Inflicts regular damage. Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage.",기술을 썼을 때 공격을 받으면 분노의 힘으로 공격이 올라간다.,0,0,20,100,20,0,0,1,,,,,,1
100,Teleport,テレポート,순간이동,Does nothing. Wild battles end immediately.,야생 포켓몬과 배틀을 그만둔다. 마지막에 들어갔던 포켓몬센터가 있는 도시에도 갈 수 있다.,13,2,,,20,-6,9,0,,,,,,1
101,Night Shade,ナイトヘッド,나이트헤드,"Inflicts damage equal to the user's level. Type immunity applies, but other type effects are ignored.",무시무시한 환상을 보게 해서 자신의 레벨과 똑같은 만큼의 데미지를 상대에게 준다.,7,1,,100,15,0,0,0,,,,,,1
102,Mimic,ものまね,흉내내기,"This move is replaced by the target's last successfully used move, and its PP changes to 5. If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail. This effect vanishes when the user leaves the field. If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail. This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore.",상대가 마지막에 사용한 기술을 배틀을 하는 동안 자신의 기술로 만들 수 있다.,0,2,,,10,0,0,0,,,,,,1
103,Screech,いやなおと,싫은소리,Lowers the target's Defense by two stages.,그만 귀를 막아버리고 싶은 싫은 소리를 내어 상대의 방어를 크게 떨어뜨린다.,0,2,,85,40,0,0,0,,,,,,1
104,Double Team,かげぶんしん,그림자분신,Raises the user's evasion by one stage.,재빠른 움직임으로 분신을 만들어 상대를 혼란시켜 회피율을 올린다.,0,2,,,15,0,9,0,,,,,,1
105,Recover,じこさいせい,HP회복,Heals the user for half its max HP.,세포를 재생시켜 자신의 최대 HP의 절반만큼 HP를 회복한다.,0,2,,,5,0,9,0,,,50,,,1
106,Harden,かたくなる,단단해지기,Raises the user's Defense by one stage.,전신에 힘을 담아 몸을 단단하게 해서 자신의 방어를 올린다.,0,2,,,30,0,9,0,,,,,,1
107,Minimize,ちいさくなる,작아지기,Raises the user's evasion by two stages. stomp and steamroller have double power against Pokémon that have used this move since entering the field.,몸을 축소하여 작게 보임으로써 자신의 회피율을 크게 올린다.,0,2,,,10,0,9,0,,,,,,1
